Fecha,Delegacion,Clave INEGI AGEE,Codigo Penal Federal (CPF)_Delitos contra la salud_ Produccion,Codigo Penal Federal (CPF)_Delitos contra la salud_Transporte,Codigo Penal Federal (CPF)_Delitos contra la salud_Tr fico,Codigo Penal Federal (CPF)_Delitos contra la salud_Comercio,Codigo Penal Federal (CPF)_Delitos contra la salud_Suministro,Codigo Penal Federal (CPF)_Delitos contra la salud_Posesion,Codigo Penal Federal (CPF)_Delitos contra la salud_Otros,Codigo Penal Federal (CPF)_Cometidos por Servidores Publicos,Codigo Penal Federal (CPF)_Contra el Ambiente y la Gestion Ambiental,Codigo Penal Federal (CPF)_Contra la integridad corporal,Codigo Penal Federal (CPF)_Electorales,Codigo Penal Federal (CPF)_En Materia de Derechos de Autor,"Codigo Penal Federal (CPF)_Falsedad, T¡tulo D‚cimo Tercero",Codigo Penal Federal (CPF)_Patrimoniales,Codigo Penal Federal (CPF)_V¡as de Comunicacion y Correspondencia,Codigo Penal Federal (CPF)_Otros Delitos del CPF,Codigo Fiscal de la Federacion (CFF),Ley de la Propiedad Industrial (LPI),Ley de V¡as Generales de Comunicacion (LVGC),Ley Federal del Derecho de Autor (LFDA),Ley Federal de Armas de Fuego y Explosivos (LFAFE),Ley de Migracion (LM),Ley General de Salud (LGS)_Contra la salud en su modalidad de Narcomenudeo,Ley General de Salud (LGS)_Otros delitos previstos en la LGS,Ley Federal Contra la Delincuencia Organizada (LFCDO)_Contra la salud,Ley Federal Contra la Delincuencia Organizada (LFCDO)_Otros delitos previstos en la LFCDO,"Leyes de Instituciones de Cr‚dito, Inversion, Fianzas y Seguros",Otras Leyes Especiales
2012-01,GUERRERO,12,0,0,0,31,0,44,3,22,4,1,6,3,3,16,2,17,5,0,0,0,82,0,0,0,0,32,2,6
2012-01,HIDALGO,13,0,0,0,2,0,2,1,4,3,0,2,12,4,35,7,29,48,1,1,18,31,0,0,0,0,6,0,6
2012-01,JALISCO,14,30,2,0,24,0,395,46,5,3,2,7,2,20,82,2,58,34,17,5,5,133,0,414,1,0,5,57,4
2012-01,MXICO,15,0,0,0,0,0,1,2,11,5,5,4,2,9,130,2,48,12,9,2,1,66,0,33,1,1,14,3,16
2012-01,MICHOACAN,16,9,2,1,3,0,64,3,6,2,1,4,0,4,33,2,12,11,2,2,0,69,0,4,0,0,11,0,3
2012-01,MORELOS,17,0,0,0,3,0,16,6,3,1,0,3,0,4,7,0,13,10,0,1,0,29,0,22,0,0,6,2,0
2012-01,NAYARIT,18,1,0,0,5,0,3,3,2,1,1,1,0,1,12,0,16,1,0,0,1,41,1,1,0,0,1,0,4
2012-01,NUEVO LEON,19,4,0,0,3,0,107,1,25,4,2,2,0,2,32,3,11,20,4,0,2,72,0,17,1,1,1,4,13
2012-01,OAXACA,20,0,3,0,2,0,8,5,10,9,1,2,3,1,14,0,15,1,0,16,1,86,2,53,0,0,2,2,4
2012-01,PUEBLA,21,0,1,0,2,0,26,1,9,2,4,4,2,5,25,2,6,7,1,12,1,37,0,1,0,0,1,2,13
2012-01,QUERTARO,22,0,0,0,0,0,1,1,3,3,0,0,0,8,11,0,9,3,0,0,0,18,0,59,0,0,1,2,1
2012-01,QUINTANA ROO,23,0,0,5,0,0,43,22,1,2,0,0,6,5,24,0,7,12,0,0,0,20,0,1,0,0,2,3,2
2012-01,SAN LUIS POTOSÖ,24,0,1,0,7,0,1,0,2,5,0,0,2,1,10,0,2,10,0,0,0,24,1,25,0,0,3,0,1
2012-01,SINALOA,25,21,1,0,35,1,92,15,8,15,1,3,0,4,36,1,6,14,0,2,0,69,2,11,0,0,2,4,0
2012-01,SONORA,26,10,21,0,45,1,127,49,4,8,2,3,1,8,45,0,29,57,2,6,1,58,29,103,0,0,2,2,7
2012-01,TABASCO,27,0,1,0,2,1,9,2,5,3,1,0,2,6,14,1,33,6,1,0,3,4,3,0,0,0,1,0,2
2012-01,TAMAULIPAS,28,0,0,0,0,0,97,0,3,3,3,4,0,6,88,6,43,21,0,0,0,107,0,0,0,0,14,0,2
2012-01,TLAXCALA,29,0,0,0,1,0,0,0,3,6,1,1,2,7,20,4,12,6,0,7,0,4,0,13,0,0,1,0,1
2012-01,VERACRUZ,30,1,1,0,0,0,2,4,12,15,1,5,0,6,135,4,34,64,0,3,0,75,0,57,0,1,10,3,3
2012-01,YUCATAN,31,0,0,0,0,0,11,1,3,2,1,0,1,4,7,0,2,3,1,0,0,4,0,0,0,0,0,0,8
2012-01,ZACATECAS,32,0,2,0,0,0,10,0,1,0,1,3,0,0,9,1,6,3,0,1,1,22,0,4,0,0,0,0,3
2012-01,EXTRANJERO,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4
2012-02,AGUASCALIENTES,1,0,0,0,9,0,22,1,0,4,0,7,1,6,3,0,2,29,0,1,1,12,0,2,0,0,2,1,0
2012-02,BAJA CALIFORNIA,2,0,1,0,10,0,792,4,12,1,1,17,19,51,102,3,20,39,2,0,1,101,28,1,0,0,0,7,1
