Fecha,Delegación,Clave INEGI AGEE,Código Penal Federal (CPF)_Delitos contra la salud_ Producción,Código Penal Federal (CPF)_Delitos contra la salud_Transporte,Código Penal Federal (CPF)_Delitos contra la salud_Tráfico,Código Penal Federal (CPF)_Delitos contra la salud_Comercio,Código Penal Federal (CPF)_Delitos contra la salud_Suministro,Código Penal Federal (CPF)_Delitos contra la salud_Posesión,Código Penal Federal (CPF)_Delitos contra la salud_Otros,Código Penal Federal (CPF)_Cometidos por Servidores Públicos,Código Penal Federal (CPF)_Contra el Ambiente y la Gestión Ambiental,Código Penal Federal (CPF)_Contra la integridad corporal,Código Penal Federal (CPF)_Electorales,Código Penal Federal (CPF)_En Materia de Derechos de Autor,"Código Penal Federal (CPF)_Falsedad, Título Décimo Tercero",Código Penal Federal (CPF)_Patrimoniales,Código Penal Federal (CPF)_Vías de Comunicación y Correspondencia,Código Penal Federal (CPF)_Otros Delitos del CPF,Código Fiscal de la Federación (CFF),Ley de la Propiedad Industrial (LPI),Ley de Vías Generales de Comunicación (LVGC),Ley Federal del Derecho de Autor (LFDA),Ley Federal de Armas de Fuego y Explosivos (LFAFE),Ley de Migración (LM),Ley General de Salud (LGS)_Contra la salud en su modalidad de Narcomenudeo,Ley General de Salud (LGS)_Otros delitos previstos en la LGS,Ley Federal Contra la Delincuencia Organizada (LFCDO)_Contra la salud,Ley Federal Contra la Delincuencia Organizada (LFCDO)_Otros delitos previstos en la LFCDO,"Leyes de Instituciones de Crédito, Inversión, Fianzas y Seguros",Otras Leyes Especiales
2015-03,CHIAPAS,7,0,6,4,4,0,3,0,12,11,1,2,0,15,14,2,19,17,2,14,0,19,18,13,0,0,3,2,16
2015-03,CHIHUAHUA,8,8,2,0,0,0,18,2,16,2,3,3,3,7,138,2,35,19,2,2,2,58,4,8,2,0,0,4,11
2015-03,DISTRITO FEDERAL,9,0,0,0,5,0,12,21,63,2,4,11,16,204,270,7,148,61,82,3,1,71,1,10,2,0,26,76,53
2015-03,DURANGO,10,5,0,0,0,0,5,1,9,1,3,2,1,1,18,1,2,1,0,0,0,19,0,0,0,0,0,2,8
2015-03,GUANAJUATO,11,0,1,0,4,0,13,4,5,0,0,2,3,9,166,10,23,5,2,8,8,87,0,7,6,0,4,4,16
2015-03,GUERRERO,12,1,5,0,13,0,9,8,10,2,0,0,0,6,23,29,26,1,1,0,0,59,0,0,0,0,6,0,24
2015-03,HIDALGO,13,0,0,0,0,0,0,0,2,6,0,0,1,9,52,3,13,2,3,8,0,26,1,2,3,0,0,1,2
2015-03,JALISCO,14,2,0,0,2,0,52,6,18,4,2,4,0,16,117,1,11,11,24,1,6,119,0,1,0,0,8,14,64
2015-03,MÉXICO,15,1,1,0,3,1,8,5,13,7,2,6,2,10,274,2,50,12,25,18,0,108,1,10,4,0,17,8,53
2015-03,MICHOACÁN,16,1,5,0,2,0,24,21,29,8,2,3,1,10,39,2,40,20,2,0,0,67,0,3,1,0,8,4,13
2015-03,MORELOS,17,0,0,0,0,0,3,0,5,4,0,0,1,4,29,1,15,7,0,3,0,27,0,6,0,0,0,2,18
2015-03,NAYARIT,18,1,3,0,1,0,0,6,7,4,0,1,0,0,3,0,21,2,0,2,0,10,0,2,4,0,0,1,2
2015-03,NUEVO LEÓN,19,1,6,0,2,0,12,9,44,2,0,1,0,5,31,1,7,17,7,1,0,46,7,6,0,0,6,8,7
2015-03,OAXACA,20,1,3,0,0,0,3,4,4,10,2,7,0,1,47,7,7,4,0,21,0,74,2,12,2,0,1,0,7
2015-03,PUEBLA,21,3,0,0,0,1,0,2,6,4,3,11,2,7,124,2,32,6,6,16,0,56,2,6,0,0,0,5,15
2015-03,QUERÉTARO,22,2,3,0,2,0,6,5,2,0,0,0,2,7,33,1,11,3,4,0,1,15,0,1,2,0,0,6,5
2015-03,QUINTANA ROO,23,0,1,0,0,0,1,5,2,11,0,1,4,4,30,0,4,9,2,0,0,6,0,2,3,0,1,0,6
2015-03,SAN LUIS POTOSÍ,24,0,8,0,1,0,2,2,5,3,0,2,4,2,15,0,6,3,3,1,0,36,2,0,0,0,1,0,4
2015-03,SINALOA,25,10,9,0,3,0,29,12,11,2,2,0,0,4,108,2,8,8,0,2,3,77,0,26,0,2,4,1,10
2015-03,SONORA,26,3,12,0,3,0,55,26,3,5,1,28,0,5,38,4,28,46,0,1,0,82,13,33,8,0,2,0,13
2015-03,TABASCO,27,0,0,0,0,0,0,0,4,1,0,0,0,2,32,0,14,1,1,1,0,5,3,4,0,0,0,1,4
2015-03,TAMAULIPAS,28,0,0,0,6,0,65,2,42,0,9,1,0,11,177,2,34,13,0,0,7,213,11,0,0,0,21,3,77
2015-03,TLAXCALA,29,0,0,0,0,0,0,1,12,4,1,0,1,5,11,0,5,0,1,2,0,10,2,12,10,0,0,1,5
2015-03,VERACRUZ,30,1,1,0,1,0,1,4,13,2,2,70,1,15,125,4,60,10,0,18,0,31,5,11,13,0,2,1,20
2015-03,YUCATÁN,31,0,1,0,0,0,5,4,23,27,5,1,2,30,33,1,11,1,5,21,0,5,1,4,10,0,1,3,7
2015-03,ZACATECAS,32,1,1,0,1,0,4,0,2,0,0,3,5,0,12,2,6,2,0,0,0,15,0,1,0,0,0,1,23
2015-03,EXTRANJERO,33,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,3
2015-04,AGUASCALIENTES,1,0,2,0,0,0,2,7,2,0,0,2,1,4,10,0,22,9,1,1,6,11,0,4,0,0,0,1,19
2015-04,BAJA CALIFORNIA,2,2,5,0,39,0,54,7,7,6,0,2,1,41,78,1,13,14,2,0,0,95,12,63,1,0,1,6,36
