Fecha,DELEGACI‡N,Clave INEGI AGEE,Delitos contra la salud_ Producci¢n,Delitos contra la salud_Transporte,Delitos contra la salud_Tr†fico,Delitos contra la salud_Comercio,Delitos contra la salud_Suministro,Delitos contra la salud_Posesi¢n,Delitos contra la salud_Otros,Delitos diversos_Instituciones de banca y crÇdito,Delitos diversos_Fiscales,Delitos diversos_Patrimoniales,Delitos diversos_Ambientales,Delitos diversos_Propiedad intelectual e industrial,Delitos diversos_Servidor p£blico,Delitos diversos_LFAFyE,Delitos diversos_Asociaci¢n delictuosa,Delitos diversos_Robo en carretera,Delitos diversos_Ley general de poblaci¢n,Delitos diversos_Ataques a las v°as generales de comunicaci¢n,Delitos diversos_Culposos por transito de veh°culos,Delitos diversos_Otras leyes especiales,Delitos diversos_LFCDO,Delitos diversos_Delitos electorales,Delitos diversos_Otros
2001-05,MêXICO,15,0,0,0,1,0,117,0,2,0,59,11,26,8,71,0,1,1,5,20,30,0,1,71
2001-05,MICHOACµN,16,0,1,0,6,0,72,2,0,0,2,1,0,4,42,0,0,0,11,2,0,0,0,38
2001-05,MORELOS,17,0,4,0,1,3,52,1,0,1,5,4,13,0,32,0,0,2,9,0,0,0,1,15
2001-05,NAYARIT,18,0,4,0,0,0,14,28,0,0,0,2,0,3,25,0,0,0,0,0,0,0,0,15
2001-05,NUEVO LE‡N,19,0,3,1,2,0,70,0,0,3,4,0,0,14,38,0,0,3,5,1,2,0,1,16
2001-05,OAXACA,20,0,3,0,2,0,16,1,0,0,11,7,0,8,48,0,0,16,12,0,0,0,0,22
2001-05,PUEBLA,21,0,2,0,0,0,11,0,0,2,12,14,0,4,23,0,0,1,9,14,1,0,1,50
2001-05,QUERêTARO,22,0,6,0,2,4,17,0,2,0,0,0,0,3,25,2,5,1,0,0,2,0,0,11
2001-05,QUINTANA ROO,23,0,1,0,0,0,15,12,0,0,2,0,0,0,5,0,0,4,3,0,0,0,0,20
2001-05,SAN LUIS POTOS÷,24,0,7,0,1,0,81,6,0,0,4,0,0,0,36,0,1,4,5,0,3,0,0,25
2001-05,SINALOA,25,0,17,0,9,0,56,10,0,0,4,7,0,2,43,0,0,1,1,2,0,0,1,46
2001-05,SONORA,26,1,43,6,30,2,244,16,2,63,12,10,0,0,85,0,0,16,2,3,0,0,1,70
2001-05,TABASCO,27,0,0,0,0,0,12,3,0,0,26,1,0,0,6,0,0,19,7,0,0,0,1,4
2001-05,TAMAULIPAS,28,0,3,4,1,0,40,8,0,26,4,0,0,0,73,0,0,18,2,2,0,0,0,58
2001-05,TLAXCALA,29,0,0,0,0,0,3,0,0,1,1,2,0,8,13,0,0,0,11,4,0,0,0,14
2001-05,VERACRUZ,30,0,2,0,0,0,30,0,1,3,45,10,13,5,40,0,0,6,11,0,9,0,0,19
2001-05,YUCATµN,31,0,0,0,0,0,15,0,1,3,9,6,0,0,1,0,0,0,1,9,1,0,0,24
2001-05,ZACATECAS,32,0,10,1,1,0,10,1,0,0,5,0,0,1,18,0,0,3,3,0,0,0,0,16
2001-06,AGUASCALIENTES,01,0,0,0,0,0,14,0,0,0,0,0,0,0,8,0,0,1,1,1,0,0,0,23
2001-06,BAJA CALIFORNIA,02,0,12,0,0,0,363,30,0,14,92,1,0,2,215,0,0,48,2,17,0,0,0,48
2001-06,BAJA CALIFORNIA SUR,03,0,1,0,0,0,20,7,0,0,11,4,0,0,8,0,0,0,3,0,0,0,0,2
2001-06,CAMPECHE,04,1,0,0,3,1,6,1,0,2,9,12,0,3,12,0,0,4,1,0,0,0,1,5
2001-06,COAHUILA,05,0,2,0,0,0,34,7,0,1,1,0,0,0,19,0,0,0,1,0,0,0,0,50
2001-06,COLIMA,06,0,2,0,1,3,11,4,0,0,0,0,0,2,13,0,0,0,0,1,0,0,0,16
2001-06,CHIAPAS,07,4,2,0,1,0,16,2,0,0,28,6,0,4,41,0,0,24,3,0,6,0,4,38
2001-06,CHIHUAHUA,08,2,7,3,0,0,79,0,0,1,2,1,0,0,104,0,0,4,5,0,0,0,0,13
2001-06,DISTRITO FEDERAL,09,0,1,3,2,1,44,2,10,17,395,0,16,31,162,0,0,8,1,13,8,11,6,220
2001-06,DURANGO,10,2,5,0,1,0,34,1,0,1,3,1,0,0,27,0,1,0,6,0,8,0,0,16
2001-06,GUANAJUATO,11,0,1,0,2,2,31,0,0,0,1,0,0,0,50,0,0,0,2,3,8,0,0,34
2001-06,GUERRERO,12,0,2,0,2,1,20,0,0,0,5,6,0,8,38,0,0,0,14,3,0,0,0,15
2001-06,HIDALGO,13,0,0,0,0,1,10,3,0,1,13,0,0,0,19,0,0,1,12,9,0,0,0,22
2001-06,JALISCO,14,1,1,0,8,0,165,4,0,36,34,4,9,2,99,0,8,0,4,8,0,0,2,33
2001-06,MêXICO,15,0,1,0,16,0,182,8,15,0,140,5,2,8,81,0,1,5,3,21,32,0,1,65
2001-06,MICHOACµN,16,0,0,1,3,0,58,2,0,2,5,0,0,4,65,0,1,1,7,2,1,0,1,17
2001-06,MORELOS,17,0,0,0,2,1,39,2,0,2,2,2,0,0,28,0,0,0,2,0,0,0,1,23
2001-06,NAYARIT,18,0,2,0,1,0,15,11,2,0,0,0,0,2,28,0,0,0,1,0,0,0,0,9
2001-06,NUEVO LE‡N,19,0,3,0,3,0,92,0,0,3,5,0,5,19,33,0,0,0,1,0,0,0,0,15
2001-06,OAXACA,20,1,3,1,4,1,22,3,0,0,16,5,0,18,52,0,0,11,13,2,1,0,0,28
2001-06,PUEBLA,21,0,0,0,0,2,13,0,0,2,28,14,2,6,35,0,0,1,3,18,0,0,0,53
2001-06,QUERêTARO,22,0,2,0,2,0,20,1,3,6,0,0,0,5,16,0,4,0,0,0,3,0,0,10
2001-06,QUINTANA ROO,23,0,3,0,1,0,9,7,0,0,0,4,0,3,12,0,0,4,1,0,0,0,0,13
2001-06,SAN LUIS POTOS÷,24,1,7,0,4,0,42,12,0,2,7,2,0,3,26,0,0,0,3,0,6,0,2,21
2001-06,SINALOA,25,0,16,0,1,0,44,2,0,0,8,6,0,4,44,0,0,0,1,1,0,0,0,61
2001-06,SONORA,26,1,34,4,16,0,212,19,4,41,4,4,0,4,50,0,0,25,2,0,0,0,0,55
2001-06,TABASCO,27,0,0,0,4,1,8,3,0,0,31,0,0,2,2,0,0,13,3,0,0,0,0,17
2001-06,TAMAULIPAS,28,0,10,0,3,0,25,4,0,11,5,0,0,0,48,0,0,8,4,3,0,0,0,10
2001-06,TLAXCALA,29,0,0,0,0,0,7,3,0,3,3,1,0,2,15,0,0,0,3,3,0,0,1,14
2001-06,VERACRUZ,30,0,2,0,1,3,27,0,0,1,38,4,3,13,48,0,0,15,8,0,0,0,1,13
2001-06,YUCATµN,31,0,0,0,0,0,12,0,0,0,6,4,0,0,7,0,0,5,4,5,2,0,1,25
2001-06,ZACATECAS,32,0,8,0,3,0,7,4,0,0,6,0,0,0,12,0,0,0,2,2,0,0,0,9
2001-07,AGUASCALIENTES,01,0,0,0,0,0,18,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,1,20
2001-07,BAJA CALIFORNIA,02,0,0,0,0,0,325,27,0,26,98,5,0,36,210,0,0,55,4,22,0,0,1,33
2001-07,BAJA CALIFORNIA SUR,03,0,0,0,0,0,21,14,0,0,12,3,0,0,3,0,0,0,2,0,0,0,0,12
2001-07,CAMPECHE,04,0,0,0,1,0,7,2,0,2,8,24,0,0,9,0,0,2,2,0,3,0,0,3
2001-07,COAHUILA,05,0,0,0,0,0,28,8,0,4,0,0,0,0,21,0,0,0,3,0,0,0,1,44
2001-07,COLIMA,06,0,1,0,2,3,10,3,0,0,0,1,0,0,11,0,0,0,0,1,0,0,0,9
2001-07,CHIAPAS,07,1,1,2,1,0,9,4,0,0,4,2,0,2,37,0,5,22,15,0,1,0,8,58
