Fecha,Delegaci¢n,Clave INEGI AGEE,Delitos contra la salud_ Producci¢n,Delitos contra la salud_Transporte,Delitos contra la salud_Tr†fico,Delitos contra la salud_Comercio,Delitos contra la salud_Suministro,Delitos contra la salud_Posesi¢n,Delitos contra la salud_Otros,Delitos diversos_Instituciones de banca y crÇdito,Delitos diversos_Fiscales,Delitos diversos_Patrimoniales,Delitos diversos_Ambientales,Delitos diversos_Propiedad intelectual e industrial,Delitos diversos_Servidor p£blico,Delitos diversos_LFAFyE,Delitos diversos_Ley general de poblaci¢n,Delitos diversos_Ataques a las v°as generales de comunicaci¢n,Delitos diversos_Contra la integrida corporal,Delitos diversos_Otras leyes especiales,Delitos diversos_LFCDO,Delitos diversos_Delitos electorales,Delitos diversos_Otros
2011-08,HIDALGO,13,1,0,0,5,0,28,18,0,51,16,7,7,3,32,1,4,1,40,4,2,18
2011-08,JALISCO,14,28,5,1,19,0,375,60,41,30,75,6,18,7,124,0,10,3,437,12,3,76
2011-08,MêXICO,15,0,2,0,2,0,5,6,3,5,426,8,5,11,49,0,6,2,33,32,10,55
2011-08,MICHOACµN,16,16,0,0,4,0,43,14,2,11,31,9,0,2,82,0,4,0,9,19,2,39
2011-08,MORELOS,17,0,0,0,1,0,14,3,1,12,12,1,0,4,20,0,4,0,27,6,0,17
2011-08,NAYARIT,18,1,0,0,3,0,2,1,2,1,10,16,0,0,22,0,4,0,2,2,6,19
2011-08,NUEVO LE‡N,19,1,0,0,11,0,118,1,1,22,36,4,2,37,87,1,4,1,21,10,0,11
2011-08,OAXACA,20,1,1,0,6,0,8,8,1,2,15,15,2,11,82,2,6,0,40,6,0,18
2011-08,PUEBLA,21,0,1,0,0,0,19,14,1,7,55,7,2,6,33,1,4,2,4,1,1,16
2011-08,QUERêTARO,22,0,2,0,2,0,7,0,0,8,33,1,1,2,21,0,1,0,46,0,0,13
2011-08,QUINTANA ROO,23,0,0,0,1,0,35,6,5,12,23,8,9,3,15,1,0,0,74,4,1,14
2011-08,SAN LUIS POTOS÷,24,0,1,0,1,0,3,0,0,80,16,1,7,6,28,1,4,0,41,6,2,6
2011-08,SINALOA,25,6,3,0,37,0,117,13,3,28,73,12,0,6,124,1,2,0,13,3,1,23
2011-08,SONORA,26,13,21,4,23,0,117,40,0,45,39,11,2,2,52,20,3,1,115,2,1,32
2011-08,TABASCO,27,0,0,1,4,1,12,5,0,1,13,1,2,3,13,2,0,0,7,2,0,18
2011-08,TAMAULIPAS,28,0,0,1,1,0,118,2,0,33,64,1,1,13,171,5,5,1,0,17,1,41
2011-08,TLAXCALA,29,0,1,0,0,0,0,0,1,6,36,7,0,3,9,0,3,0,24,0,0,23
2011-08,VERACRUZ,30,0,0,0,0,0,13,5,2,82,111,10,0,4,66,5,4,3,59,23,186,52
2011-08,YUCATµN,31,0,0,0,0,0,11,2,0,4,10,7,0,2,1,0,0,1,3,0,0,8
2011-08,ZACATECAS,32,0,0,0,3,0,7,1,0,1,6,0,1,0,10,0,0,1,5,3,0,7
2011-09,AGUASCALIENTES,01,2,1,0,9,0,19,2,1,1,9,0,3,0,4,0,1,0,2,5,0,3
2011-09,BAJA CALIFORNIA,02,2,0,0,3,0,600,3,10,42,60,4,22,9,100,32,1,0,6,1,3,41
2011-09,BAJA CALIFORNIA SUR,03,1,2,0,0,0,1,2,0,3,16,4,1,1,7,0,1,0,86,0,1,8
2011-09,CAMPECHE,04,1,0,0,2,0,1,1,0,0,8,7,0,1,3,0,2,0,6,0,0,11
2011-09,COAHUILA,05,2,0,0,2,0,7,22,0,20,28,0,0,3,30,0,7,0,11,5,0,33
2011-09,COLIMA,06,0,0,0,0,0,7,4,2,2,2,3,0,2,13,0,10,0,1,0,0,3
2011-09,CHIAPAS,07,0,4,0,10,0,15,12,2,19,26,3,1,3,38,17,7,0,46,1,3,18
2011-09,CHIHUAHUA,08,2,1,0,0,0,80,17,0,64,52,1,3,9,64,3,4,0,68,5,17,22
2011-09,DISTRITO FEDERAL,09,2,0,0,16,0,300,281,240,47,320,13,26,113,123,1,2,10,68,22,9,239
2011-09,DURANGO,10,1,1,0,6,0,5,6,0,2,14,2,0,2,18,0,3,0,19,0,0,10
2011-09,GUANAJUATO,11,4,0,0,9,2,260,22,24,9,48,1,2,4,69,0,18,0,214,2,0,34
2011-09,GUERRERO,12,0,0,0,16,1,61,5,0,1,14,9,0,4,79,0,2,3,6,25,0,14
2011-09,HIDALGO,13,0,0,0,0,0,26,16,1,48,20,4,19,1,31,0,16,0,34,6,1,38
2011-09,JALISCO,14,37,1,2,25,0,348,44,51,31,86,10,20,6,119,0,8,0,398,20,3,54
2011-09,MêXICO,15,0,1,0,3,1,5,6,4,11,107,6,6,9,56,0,4,0,43,25,0,41
2011-09,MICHOACµN,16,13,0,0,3,0,67,9,1,23,27,6,1,10,79,0,0,1,2,27,1,34
2011-09,MORELOS,17,0,0,1,3,0,9,0,1,4,35,2,0,1,21,0,6,1,33,6,0,12
2011-09,NAYARIT,18,1,0,0,3,0,3,2,0,0,13,9,1,0,24,0,2,0,3,3,1,12
2011-09,NUEVO LE‡N,19,0,0,0,0,0,140,0,1,10,35,0,4,23,70,4,0,2,22,10,0,11
2011-09,OAXACA,20,1,5,0,7,0,8,8,1,2,17,6,0,3,98,5,3,0,57,5,18,14
2011-09,PUEBLA,21,0,1,0,2,0,14,7,0,5,35,3,7,3,59,0,9,2,9,2,3,15
2011-09,QUERêTARO,22,0,5,0,4,0,8,3,3,10,20,1,3,5,19,1,4,0,44,2,0,16
2011-09,QUINTANA ROO,23,0,2,0,3,0,36,12,1,5,38,7,7,4,8,0,1,0,32,1,0,22
2011-09,SAN LUIS POTOS÷,24,0,2,0,1,0,0,3,0,54,14,1,4,3,32,4,0,0,36,4,1,7
2011-09,SINALOA,25,13,2,0,31,1,87,22,3,20,49,16,1,5,78,1,2,2,18,2,1,10
2011-09,SONORA,26,12,12,1,14,0,121,57,1,47,30,3,2,6,64,3,11,3,74,3,1,36
2011-09,TABASCO,27,0,0,0,1,0,10,2,0,2,19,0,10,2,9,3,0,1,8,3,0,21
2011-09,TAMAULIPAS,28,0,0,0,0,0,84,5,1,27,109,0,0,7,210,5,0,2,0,12,1,73
2011-09,TLAXCALA,29,0,0,0,0,0,0,0,0,3,11,2,3,2,6,0,1,1,22,0,0,14
2011-09,VERACRUZ,30,5,2,0,0,0,4,5,4,53,68,12,1,16,68,5,7,2,55,25,276,41
2011-09,YUCATµN,31,0,0,0,0,0,18,0,0,4,10,2,3,3,2,0,2,0,3,0,0,4
2011-09,ZACATECAS,32,0,0,0,0,0,10,2,1,4,15,0,1,0,13,0,4,1,3,5,0,10
2011-10,AGUASCALIENTES,01,0,1,0,5,0,20,1,0,4,6,0,3,2,13,0,7,0,3,2,0,1
2011-10,BAJA CALIFORNIA,02,1,0,1,10,0,773,3,1,53,88,4,40,19,119,43,4,2,2,4,2,55
2011-10,BAJA CALIFORNIA SUR,03,0,0,0,0,0,0,0,1,3,12,0,3,3,8,0,1,0,95,1,0,9
2011-10,CAMPECHE,04,0,0,0,3,0,0,1,0,2,2,6,1,2,4,0,1,0,4,1,0,14
2011-10,COAHUILA,05,4,0,0,0,0,12,30,2,10,35,0,0,1,55,0,6,2,6,7,0,31
2011-10,COLIMA,06,0,0,0,1,0,1,2,0,9,3,3,0,1,11,0,0,0,3,2,1,8
2011-10,CHIAPAS,07,0,5,0,14,3,15,27,0,14,23,6,0,10,51,7,7,1,15,2,0,20
2011-10,CHIHUAHUA,08,0,5,1,5,0,48,10,1,50,33,7,0,6,57,3,2,1,44,4,0,21
2011-10,DISTRITO FEDERAL,09,0,1,0,9,0,355,261,271,27,379,6,30,114,113,0,6,6,147,34,5,299
2011-10,DURANGO,10,1,0,0,9,2,8,3,0,2,20,3,0,2,23,0,5,0,8,1,0,8
2011-10,GUANAJUATO,11,1,0,0,9,1,304,9,27,19,44,3,9,4,65,0,8,0,174,1,0,42
2011-10,GUERRERO,12,0,0,0,24,0,40,4,0,3,12,8,8,8,79,0,0,0,4,22,1,13
2011-10,HIDALGO,13,0,0,0,0,0,20,15,0,53,24,2,8,1,24,0,24,0,21,6,1,39
2011-10,JALISCO,14,31,1,0,15,0,259,54,64,30,81,12,11,7,96,0,12,4,353,22,3,77
2011-10,MêXICO,15,1,0,0,2,0,1,11,9,13,145,16,9,13,88,0,5,2,33,38,5,63
2011-10,MICHOACµN,16,8,0,0,1,0,35,4,0,12,19,7,1,4,73,0,1,0,4,18,3,21
2011-10,MORELOS,17,0,0,0,2,0,17,0,0,9,12,3,0,6,28,0,9,0,26,12,0,12
2011-10,NAYARIT,18,0,0,0,6,0,1,3,0,1,12,3,0,3,23,0,4,0,4,6,1,22
2011-10,NUEVO LE‡N,19,0,0,0,4,0,126,0,1,11,38,1,8,44,111,1,1,0,13,9,1,15
2011-10,OAXACA,20,1,3,1,4,0,8,10,31,2,12,8,2,3,68,3,5,1,61,3,0,17
2011-10,PUEBLA,21,0,2,0,2,0,14,3,1,16,45,2,7,9,37,0,10,2,4,1,1,15
2011-10,QUERêTARO,22,0,2,0,3,0,2,1,0,5,21,0,0,2,26,0,0,1,44,0,0,18
2011-10,QUINTANA ROO,23,0,0,0,2,0,56,11,2,12,21,9,4,3,12,0,0,0,7,2,3,12
2011-10,SAN LUIS POTOS÷,24,0,1,0,3,0,0,4,2,35,33,0,1,2,35,1,0,1,29,4,0,9
2011-10,SINALOA,25,11,4,0,31,0,88,16,3,12,36,2,2,1,72,0,4,2,13,8,0,14
2011-10,SONORA,26,12,13,0,8,1,192,53,2,48,54,3,4,5,71,15,5,3,108,5,1,36
2011-10,TABASCO,27,2,0,1,3,0,10,6,0,3,12,4,5,2,6,1,1,0,9,2,0,22
2011-10,TAMAULIPAS,28,0,0,0,0,0,87,1,2,44,64,0,0,11,168,2,4,0,1,15,1,79
2011-10,TLAXCALA,29,0,0,0,0,0,0,1,0,10,17,8,0,2,8,0,4,0,21,2,0,19
2011-10,VERACRUZ,30,0,2,0,1,0,5,8,3,41,161,10,3,14,72,3,11,2,63,20,301,59
2011-10,YUCATµN,31,0,0,0,0,0,13,5,0,4,7,8,7,4,1,0,3,0,2,0,0,8
2011-10,ZACATECAS,32,2,0,0,1,0,11,3,0,4,18,0,0,0,11,1,1,0,2,4,12,14
2011-11,AGUASCALIENTES,01,0,0,0,6,0,14,1,0,5,7,0,1,0,17,0,1,0,8,3,0,6
2011-11,BAJA CALIFORNIA,02,0,1,0,11,0,752,4,6,53,88,4,23,16,89,24,2,0,2,4,2,50
2011-11,BAJA CALIFORNIA SUR,03,0,2,0,1,0,4,0,0,2,16,2,0,5,5,0,0,1,80,0,1,3
2011-11,CAMPECHE,04,1,0,0,4,0,1,4,0,7,6,5,1,3,13,0,0,0,4,1,0,12
2011-11,COAHUILA,05,5,0,1,14,1,14,8,0,13,30,1,0,2,32,0,6,6,18,10,0,37
2011-11,COLIMA,06,0,0,0,2,0,3,1,0,9,7,2,2,1,13,0,1,0,5,0,0,7
2011-11,CHIAPAS,07,0,5,0,10,0,13,11,2,36,21,14,0,6,31,15,9,0,17,1,1,20
2011-11,CHIHUAHUA,08,2,3,0,1,1,52,8,0,23,21,5,0,18,51,1,3,1,45,4,2,30
2011-11,DISTRITO FEDERAL,09,0,0,0,18,0,306,260,258,33,317,5,48,154,108,2,11,8,123,40,3,298
2011-11,DURANGO,10,3,1,2,25,0,9,6,0,9,10,3,0,4,19,0,4,1,16,1,0,10
2011-11,GUANAJUATO,11,2,0,0,6,1,157,11,15,18,30,0,12,1,80,0,5,0,221,6,1,36
2011-11,GUERRERO,12,0,0,0,11,0,48,2,0,6,25,6,2,12,74,0,7,0,5,32,0,18
2011-11,HIDALGO,13,0,0,0,2,0,17,6,1,34,35,10,10,0,49,0,2,0,27,4,3,22
2011-11,JALISCO,14,46,2,0,22,0,342,49,45,26,70,10,14,8,116,0,15,0,386,10,1,69
2011-11,MêXICO,15,3,0,0,0,0,1,2,3,11,100,3,13,8,81,2,7,3,41,30,1,43
2011-11,MICHOACµN,16,19,0,0,1,0,50,6,1,14,25,2,4,13,91,0,7,2,2,12,3,30
2011-11,MORELOS,17,0,1,0,10,0,18,4,0,5,22,1,1,3,30,0,6,1,39,11,0,12
2011-11,NAYARIT,18,0,0,0,5,0,1,0,0,0,5,2,0,0,35,0,4,0,6,1,0,19
2011-11,NUEVO LE‡N,19,1,0,0,1,0,98,0,0,18,43,1,5,30,80,0,2,1,14,12,0,9
2011-11,OAXACA,20,1,7,0,3,0,7,9,9,1,12,7,4,10,63,2,10,0,59,2,14,9
2011-11,PUEBLA,21,0,0,0,1,1,16,5,1,10,24,4,4,1,41,0,3,0,8,1,7,15
2011-11,QUERêTARO,22,0,0,0,1,0,5,0,0,12,21,2,0,3,16,0,2,2,64,1,0,15
2011-11,QUINTANA ROO,23,0,0,0,6,0,91,8,3,9,34,14,2,12,8,1,0,0,3,2,2,15
2011-11,SAN LUIS POTOS÷,24,0,0,0,3,0,0,2,3,20,24,1,0,1,30,0,6,0,31,7,0,8
2011-11,SINALOA,25,6,3,0,17,0,83,15,0,21,38,25,0,4,73,1,4,0,12,3,1,18
2011-11,SONORA,26,14,13,0,6,0,161,45,3,35,43,0,0,4,57,10,9,1,104,2,1,31
2011-11,TABASCO,27,3,1,0,2,0,10,3,0,9,12,2,2,7,8,2,2,0,10,3,1,19
2011-11,TAMAULIPAS,28,0,0,0,0,0,122,3,8,22,63,1,0,7,147,1,5,0,2,15,2,72
2011-11,TLAXCALA,29,0,0,0,0,0,0,0,1,6,16,4,1,1,8,0,6,0,21,1,0,15
2011-11,VERACRUZ,30,0,0,0,1,0,1,3,0,43,110,2,0,9,71,7,3,0,63,14,393,31
2011-11,YUCATµN,31,0,0,0,0,0,11,1,0,1,11,2,4,0,3,0,2,3,2,0,0,2
2011-11,ZACATECAS,32,0,0,0,0,0,7,3,0,0,12,1,0,0,10,0,9,0,3,3,1,12
2011-12,AGUASCALIENTES,01,0,0,0,9,0,12,2,0,0,1,0,0,2,11,0,0,0,3,1,0,6
2011-12,BAJA CALIFORNIA,02,0,0,0,11,0,683,2,5,38,91,1,46,7,86,15,0,0,6,3,0,62
2011-12,BAJA CALIFORNIA SUR,03,0,3,0,0,1,0,1,0,0,12,3,1,3,3,0,0,0,56,2,0,10
2011-12,CAMPECHE,04,0,0,0,0,0,0,3,0,2,5,2,1,3,1,0,0,0,1,0,0,9
2011-12,COAHUILA,05,0,0,0,3,0,13,20,1,15,32,1,0,2,48,0,9,1,9,8,0,29
2011-12,COLIMA,06,1,1,0,0,0,4,3,0,9,9,1,1,4,22,1,0,1,8,0,0,18
2011-12,CHIAPAS,07,3,5,0,9,2,8,15,0,16,10,7,1,2,31,3,4,0,13,0,1,18
2011-12,CHIHUAHUA,08,0,0,0,2,0,37,10,3,33,13,0,0,2,41,1,1,1,27,2,11,18
2011-12,DISTRITO FEDERAL,09,0,0,0,1,0,216,199,245,16,241,4,81,146,107,1,7,13,95,24,15,308
2011-12,DURANGO,10,0,0,0,9,0,2,1,0,2,16,1,0,1,14,0,2,0,13,2,1,13
2011-12,GUANAJUATO,11,3,1,0,14,0,202,17,22,30,31,1,9,0,79,0,17,2,273,2,0,33
2011-12,GUERRERO,12,0,0,0,13,0,45,1,0,2,11,0,0,8,63,0,3,2,0,28,0,18
2011-12,HIDALGO,13,0,0,0,2,0,0,2,0,30,20,3,10,3,32,0,3,0,17,3,0,14
2011-12,JALISCO,14,21,0,1,14,1,314,24,31,31,42,7,12,4,121,0,15,0,407,7,2,31
2011-12,MêXICO,15,0,0,0,4,1,4,2,3,12,105,8,17,0,58,1,7,3,36,18,0,43
2011-12,MICHOACµN,16,10,1,1,3,0,60,10,0,16,23,5,0,4,59,0,2,0,5,9,2,27
2011-12,MORELOS,17,0,1,0,3,0,13,0,1,5,11,3,2,2,36,0,4,0,25,9,0,12
2011-12,NAYARIT,18,0,0,0,4,0,0,1,0,0,2,0,1,2,17,0,0,0,1,2,0,5
2011-12,NUEVO LE‡N,19,2,0,0,4,0,98,0,2,23,29,1,11,49,70,0,2,1,16,5,1,16
2011-12,OAXACA,20,1,2,0,3,1,10,0,0,1,10,3,2,7,63,2,18,0,65,3,7,15
2011-12,PUEBLA,21,0,0,0,1,0,12,1,2,4,21,5,2,3,34,0,3,0,4,3,43,24
2011-12,QUERêTARO,22,0,0,0,0,0,0,0,0,6,10,0,1,6,17,0,0,1,42,1,0,22
2011-12,QUINTANA ROO,23,0,0,0,1,1,40,17,1,8,14,3,3,3,18,1,0,0,7,0,1,17
2011-12,SAN LUIS POTOS÷,24,0,2,0,3,0,0,0,0,16,8,2,0,1,21,0,0,0,36,7,1,6
2011-12,SINALOA,25,10,1,0,26,0,82,9,2,6,34,9,0,1,62,1,2,1,11,3,1,13
2011-12,SONORA,26,9,15,0,3,0,108,32,3,44,60,5,3,1,57,8,9,0,124,5,1,26
2011-12,TABASCO,27,0,0,0,1,0,8,2,0,2,12,1,0,1,7,1,1,1,8,2,0,23
2011-12,TAMAULIPAS,28,0,0,0,0,0,87,2,1,23,33,0,2,3,99,2,1,0,2,18,3,33
2011-12,TLAXCALA,29,0,0,0,0,0,0,0,0,4,3,1,0,0,11,0,2,0,20,0,0,1
2011-12,VERACRUZ,30,0,0,0,4,0,1,1,1,39,91,10,1,4,58,0,1,2,49,26,36,30
2011-12,YUCATµN,31,0,0,0,0,0,6,0,0,0,1,1,2,0,2,0,1,1,2,0,0,1
2011-12,ZACATECAS,32,1,0,0,0,1,7,0,0,4,5,1,0,0,21,0,0,0,3,4,6,5
